id,trading_date,stock_symbol,quantity,avg_buy_price,total_invested,transaction_reference_id
1,2026-07-31 16:00:00,0700.HK,1200,484.27,581124,
2,2026-07-31 16:00:00,0005.HK,11200,114.1,1277920,
3,2026-07-31 16:00:00,2318.HK,18000,67.05,1206900,
4,2026-07-31 16:00:00,9988.HK,3000,138.05,414150,
5,2026-07-31 16:00:00,2628.HK,18000,31.02,558360,
6,2026-07-31 16:00:00,0941.HK,4000,84.62,338480,
7,2026-07-31 16:00:00,0981.HK,3000,68.83,206490,
8,2026-07-31 16:00:00,1888.HK,10000,58.38,583800,
9,2026-08-03 10:30:00,0700.HK,1000,484.27,484270,1
10,2026-08-05 14:30:00,9988.HK,2500,138.05,345125,2
11,2026-08-07 14:30:00,0941.HK,5000,84.03,420150,3
12,2026-08-12 10:30:00,0700.HK,1500,476.65,714975,4
13,2026-08-12 10:30:00,2318.HK,19000,66.44,66440,5
14,2026-08-13 10:30:00,9988.HK,1000,138.05,138050,6
